,Adept,Archon,Carrier,Colossus,DarkTemplar,Disruptor,HighTemplar,Immortal,Mothership,Observer,Oracle,Phoenix,Probe,Sentry,Stalker,Tempest,WarpPrism,VoidRay,Zealot,Assimilator,CyberneticsCore,DarkShrine,FleetBeacon,Forge,Gateway,Nexus,PhotonCannon,Pylon,RoboticsFacility,RoboticsBay,ShieldBattery,Stargate,TemplarArchive,TwilightCouncil,WarpGate,ProtossAirArmorsLevel1,ProtossAirArmorsLevel2,ProtossAirArmorsLevel3,ProtossAirWeaponsLevel1,ProtossAirWeaponsLevel2,ProtossAirWeaponsLevel3,ProtossGroundArmorsLevel1,ProtossGroundArmorsLevel2,ProtossGroundArmorsLevel3,ProtossGroundWeaponsLevel1,ProtossGroundWeaponsLevel2,ProtossGroundWeaponsLevel3,ProtossShieldsLevel1,ProtossShieldsLevel2,ProtossShieldsLevel3,AdeptPiercingAttack,BlinkTech,Charge,DarkTemplarBlinkUpgrade,ExtendedThermalLance,GraviticDrive,ObserverGraviticBooster,PhoenixRangeUpgrade,PsiStormTech,WarpGateResearch,Adept1,Archon1,Carrier1,Colossus1,DarkTemplar1,Disruptor1,HighTemplar1,Immortal1,Mothership1,Observer1,Oracle1,Phoenix1,Probe1,Sentry1,Stalker1,Tempest1,WarpPrism1,VoidRay1,Zealot1,Assimilator1,CyberneticsCore1,DarkShrine1,FleetBeacon1,Forge1,Gateway1,Nexus1,PhotonCannon1,Pylon1,RoboticsFacility1,RoboticsBay1,ShieldBattery1,Stargate1,TemplarArchive1,TwilightCouncil1,WarpGate1,ProtossAirArmorsLevel11,ProtossAirArmorsLevel21,ProtossAirArmorsLevel31,ProtossAirWeaponsLevel11,ProtossAirWeaponsLevel21,ProtossAirWeaponsLevel31,ProtossGroundArmorsLevel11,ProtossGroundArmorsLevel21,ProtossGroundArmorsLevel31,ProtossGroundWeaponsLevel11,ProtossGroundWeaponsLevel21,ProtossGroundWeaponsLevel31,ProtossShieldsLevel11,ProtossShieldsLevel21,ProtossShieldsLevel31,AdeptPiercingAttack1,BlinkTech1,Charge1,DarkTemplarBlinkUpgrade1,ExtendedThermalLance1,GraviticDrive1,ObserverGraviticBooster1,PhoenixRangeUpgrade1,PsiStormTech1,WarpGateResearch1
10,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,10,1,1,0,0,1,0,3,0,7,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,31,0,0,0,1,0,0,2,1,1,0,0,0,2,0,8,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2,0,0,0,3,0,0,5,0,2,0,0,53,2,0,0,0,0,13,4,1,1,0,2,0,3,6,13,1,1,4,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,2,0,2,0,0,42,2,2,0,0,0,11,6,1,1,0,2,0,3,0,11,1,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,1,0,2,0,0,56,0,14,0,0,0,14,4,1,0,0,3,0,3,1,10,1,0,1,0,0,1,7,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,2,1,0,1,0,0,42,2,0,0,1,0,9,3,1,0,0,0,0,2,0,7,1,0,1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,1,0,0,1,0,55,0,15,0,0,2,0,6,1,1,0,1,5,3,2,10,1,0,2,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,2,0,0,48,0,5,0,0,0,7,4,1,0,0,2,0,3,1,9,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14,0,1,0,0,0,0,2,1,0,2,0,0,45,0,6,0,0,0,0,6,1,0,0,1,0,3,3,10,1,0,3,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,24,0,0,0,0,0,0,2,1,0,0,0,0,1,0,5,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,0,0,0,0,0,0,0,0,0,0,0,15,50,0,10,0,0,0,1,4,1,0,0,1,0,2,0,13,0,0,3,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,42,0,10,0,0,0,6,4,1,0,0,1,0,3,0,8,1,0,2,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16,0,0,0,0,0,0,0,2,0,0,0,0,48,0,13,0,0,0,0,4,1,0,0,0,3,2,0,8,1,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,47,0,7,0,0,2,9,4,1,0,0,0,0,3,0,8,1,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,2,0,3,0,0,44,0,9,0,0,0,8,4,1,0,0,1,0,3,1,8,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,0,2,2,0,2,0,0,50,0,4,0,1,0,16,4,1,1,0,2,2,2,0,14,1,0,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,3,0,2,0,0,62,2,12,0,0,0,10,6,1,0,0,2,0,3,0,13,1,0,2,0,1,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,0,0,57,2,13,0,1,0,0,6,1,0,0,1,0,3,0,14,2,1,2,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19,0,2,0,0,0,0,0,5,0,0,0,0,44,5,9,0,0,0,8,4,1,0,0,1,4,3,0,12,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,1,0,0,67,0,13,0,1,0,7,6,1,0,0,2,0,3,0,13,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,2,0,2,0,0,30,0,8,0,1,0,0,2,1,0,0,1,2,2,2,6,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,8,0,6,1,0,0,1,0,3,7,12,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,2,0,0,0,0,0,2,0,1,3,0,63,0,12,0,0,0,0,6,1,0,0,1,5,3,0,15,1,0,3,1,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,1,0,0,39,0,6,0,0,0,5,6,1,0,0,2,2,3,2,9,1,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,1,0,1,2,0,48,2,0,0,1,1,7,4,1,0,0,1,0,2,5,9,1,0,5,2,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,19,2,1,0,0,1,0,3,4,8,1,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,0,2,0,0,53,0,16,0,0,0,0,5,1,0,0,1,0,3,0,9,1,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,3,2,0,0,1,0,0,55,0,8,0,0,0,4,4,1,0,0,1,3,3,3,13,1,1,4,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,2,0,0,0,0,25,0,9,0,0,0,0,2,1,0,0,0,0,1,0,6,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,19,0,2,0,0,0,2,3,1,0,0,0,0,2,0,4,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
25,0,3,0,0,0,0,0,3,0,2,0,0,48,0,8,0,0,0,13,4,1,0,0,1,0,3,0,12,1,0,3,0,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,1,0,0,49,1,8,0,0,0,17,6,1,0,0,2,0,3,0,11,1,1,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26,0,0,0,0,0,0,6,2,0,1,0,0,53,4,6,0,1,0,20,6,1,0,0,2,0,3,0,17,1,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0,1,0,0,57,1,13,0,0,0,3,4,1,0,0,1,2,2,2,14,1,0,3,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3,0,2,1,0,1,1,1,1,5,6,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,0,11,0,0,0,0,2,1,0,0,0,0,3,0,8,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,0,0,0,1,32,5,9,0,0,0,6,3,1,0,0,0,0,2,0,7,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,29,0,2,0,0,0,0,2,1,0,0,0,0,2,0,4,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0,0,0,9,28,0,0,0,0,2,0,2,1,0,0,1,1,2,4,10,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,29,0,0,0,0,1,10,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,1,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,32,0,5,0,0,0,0,4,1,0,0,1,0,2,6,8,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31,2,4,0,0,0,0,0,4,0,2,0,0,59,2,4,0,0,0,13,6,1,0,0,1,0,3,0,12,1,0,3,0,1,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,50,2,6,0,0,0,7,5,1,0,0,2,2,3,1,9,1,1,6,0,1,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,0,2,0,0,0,0,5,0,0,2,0,0,47,0,2,0,0,0,3,4,1,0,0,1,0,3,2,14,1,0,4,0,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,1,0,0,61,0,3,0,1,0,8,6,1,1,0,2,0,3,2,9,1,0,2,0,0,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
33,0,0,0,0,0,0,0,1,0,1,0,0,43,0,10,0,0,0,0,4,1,0,0,0,0,2,0,8,1,0,4,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,7,0,4,1,0,1,1,0,2,5,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1,0,0,0,0,0,2,0,1,0,0,53,0,7,0,1,0,7,6,1,0,0,1,0,3,0,13,1,0,1,0,1,1,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,57,0,10,0,1,0,6,4,1,0,0,1,3,3,2,12,1,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,6,0,0,0,0,0,0,2,0,1,0,0,25,0,15,0,1,0,0,2,1,0,0,0,0,2,0,7,1,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,1,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,2,0,60,0,20,0,0,2,0,6,1,0,0,1,0,3,2,13,1,0,5,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,6,0,0,1,0,2,1,0,0,1,0,2,3,5,0,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,0,3,0,0,0,0,5,2,0,1,0,1,57,1,17,0,0,0,0,6,1,0,0,2,0,3,2,13,2,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0,0,55,3,6,0,0,0,4,4,1,0,0,0,4,3,0,12,1,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
38,0,5,0,0,1,0,0,0,0,0,1,0,52,0,5,0,0,1,9,4,1,1,0,1,2,3,0,10,0,0,1,1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,40,3,8,0,0,0,4,6,1,0,0,2,2,3,0,9,1,0,3,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,4,0,0,1,0,63,0,8,0,1,3,2,4,1,0,0,1,0,3,0,15,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,58,0,11,0,0,0,4,4,1,0,0,2,0,4,0,12,2,0,3,0,0,1,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
40,0,3,0,0,0,0,3,1,0,4,0,9,71,0,14,0,0,0,3,6,1,0,0,2,0,4,0,18,1,0,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6,0,0,0,0,2,0,0,1,0,0,61,6,5,0,1,0,16,6,1,0,0,2,6,3,1,13,2,0,2,0,1,1,7,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
41,0,3,0,0,0,0,0,1,0,1,0,0,47,3,10,0,1,0,6,4,1,0,0,1,0,3,0,15,1,0,3,0,1,1,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,35,0,4,0,0,0,7,2,1,0,0,1,0,2,1,9,0,0,1,0,1,1,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0,0,0,0,0,48,0,6,0,0,0,0,4,1,0,0,1,0,3,2,7,1,0,1,1,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,44,0,2,0,1,0,14,4,1,0,0,1,0,3,0,13,1,0,3,1,1,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,1,0,1,0,8,44,1,4,0,0,0,11,4,1,1,0,1,5,3,0,11,1,0,1,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,44,3,7,0,0,4,2,4,1,0,0,1,0,3,0,12,1,0,3,1,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,0,0,0,0,0,0,0,1,0,0,0,0,41,3,8,0,0,0,0,4,1,0,0,1,0,2,2,7,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,3,3,1,0,0,1,0,4,11,9,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
45,0,0,4,0,0,0,0,0,0,5,0,2,79,0,7,0,0,3,1,8,1,0,1,1,0,4,4,19,1,0,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,64,0,1,5,0,0,0,6,1,0,1,1,1,3,6,12,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,2,0,0,0,0,0,0,0,3,0,35,0,1,0,0,4,0,6,2,0,1,1,0,3,4,9,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,3,0,0,70,0,17,0,0,0,3,6,1,1,0,1,0,3,0,15,1,0,3,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,1,0,0,0,0,0,28,0,2,0,2,0,0,5,1,0,0,2,0,1,0,13,1,0,1,0,1,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,39,1,4,0,1,0,14,4,1,0,0,1,0,2,0,9,2,0,1,0,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
