,0Frame_id,0Replay_id,P1_HasSpotted_Adept,P1_HasSpotted_AdeptPhaseShift,P1_HasSpotted_Archon,P1_HasSpotted_Assimilator,P1_HasSpotted_Carrier,P1_HasSpotted_Colossus,P1_HasSpotted_CyberneticsCore,P1_HasSpotted_DarkShrine,P1_HasSpotted_DarkTemplar,P1_HasSpotted_Disruptor,P1_HasSpotted_DisruptorPhased,P1_HasSpotted_FleetBeacon,P1_HasSpotted_Forge,P1_HasSpotted_Gateway,P1_HasSpotted_HighTemplar,P1_HasSpotted_Immortal,P1_HasSpotted_Interceptor,P1_HasSpotted_Mothership,P1_HasSpotted_Nexus,P1_HasSpotted_Observer,P1_HasSpotted_ObserverSurveillanceMode,P1_HasSpotted_Oracle,P1_HasSpotted_Phoenix,P1_HasSpotted_PhotonCannon,P1_HasSpotted_Probe,P1_HasSpotted_Pylon,P1_HasSpotted_RoboticsBay,P1_HasSpotted_RoboticsFacility,P1_HasSpotted_Sentry,P1_HasSpotted_ShieldBattery,P1_HasSpotted_Stalker,P1_HasSpotted_Stargate,P1_HasSpotted_StasisTrap,P1_HasSpotted_Tempest,P1_HasSpotted_TemplarArchive,P1_HasSpotted_TwilightCouncil,P1_HasSpotted_VoidRay,P1_HasSpotted_WarpGate,P1_HasSpotted_WarpPrism,P1_HasSpotted_WarpPrismPhasing,P1_HasSpotted_Zealot,P2_HasSpotted_Adept,P2_HasSpotted_AdeptPhaseShift,P2_HasSpotted_Archon,P2_HasSpotted_Assimilator,P2_HasSpotted_Carrier,P2_HasSpotted_Colossus,P2_HasSpotted_CyberneticsCore,P2_HasSpotted_DarkShrine,P2_HasSpotted_DarkTemplar,P2_HasSpotted_Disruptor,P2_HasSpotted_DisruptorPhased,P2_HasSpotted_FleetBeacon,P2_HasSpotted_Forge,P2_HasSpotted_Gateway,P2_HasSpotted_HighTemplar,P2_HasSpotted_Immortal,P2_HasSpotted_Interceptor,P2_HasSpotted_Nexus,P2_HasSpotted_Observer,P2_HasSpotted_ObserverSurveillanceMode,P2_HasSpotted_Oracle,P2_HasSpotted_Phoenix,P2_HasSpotted_PhotonCannon,P2_HasSpotted_Probe,P2_HasSpotted_Pylon,P2_HasSpotted_RoboticsBay,P2_HasSpotted_RoboticsFacility,P2_HasSpotted_Sentry,P2_HasSpotted_ShieldBattery,P2_HasSpotted_Stalker,P2_HasSpotted_Stargate,P2_HasSpotted_StasisTrap,P2_HasSpotted_Tempest,P2_HasSpotted_TemplarArchive,P2_HasSpotted_TwilightCouncil,P2_HasSpotted_VoidRay,P2_HasSpotted_WarpGate,P2_HasSpotted_WarpPrism,P2_HasSpotted_WarpPrismPhasing,P2_HasSpotted_Zealot,P2_HasSpotted_Mothership
0,10800,4-2-2-63454-6-2018-03-29T07-01-14-558,2,0,0,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,12,6,0,1,3,3,7,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,23,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,10800,4-3-2-65384-4-2018-06-19T08-55-13-954,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,2,3,5,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2,10800,4-4-1-66668-4-2018-08-04T15-51-34-904,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,14,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,34,3,0,2,0,4,2,0,0,0,0,1,0,0,0,0,6,0
3,10800,4-4-1-66668-5-2018-07-29T11-41-35-1090,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,14,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,10800,4-5-1-67344-5-2018-08-31T13-01-58-598,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,4,11,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0
5,10800,4-4-1-66668-4-2018-08-06T21-50-11-538,4,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,19,4,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,17,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0
6,10800,4-6-2-69232-5-2018-11-12T12-29-08-625,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,3,0,0,2,1,0,0,0,0,15,3,0,1,0,1,3,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,10,2,0,0,2,1,6,0,0,0,0,0,0,0,1,0,5,0
7,10800,4-5-1-67344-6-2018-08-24T17-23-08-555,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,7,0,21,4,0,0,0,1,7,1,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,29,4,0,1,0,3,11,0,0,0,0,1,0,1,0,0,0,0
8,10800,4-3-2-65384-6-2018-06-08T18-27-20-755,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,9,0,23,3,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,15,3,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0
9,10800,4-4-1-66668-5-2018-07-26T06-41-32-887,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,3,0,29,5,0,0,1,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,1,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,22,6,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0
